Name,Metaphors,Emoji
Clock Alarm,"time,watch,analog",⏰
Clock Arrow Download,"time,watch,analog",⏰
Clock Bill,"time,watch,analog,work,hours,bill,billable",⏰
Clock Dismiss,"time,watch,analog",⏰
Clock Lock,"clock,time,security,protection,locked out",🔒
Clock Pause,"time,watch,analog",⏸️
Clock Toolbox,"time,watch,analog",🧰
Closed Caption,"text,accessibility,video",💬
Closed Caption Off,"text,accessibility,video,slash",💬
Clothes Hanger,"clothing,closet,wardrobe",🪡
Cloud,"storage,upload,download,save,sync",☁️
Cloud Add,"storage,upload,download,save,sync",☁️
Cloud Archive,"storage,upload,download,save,sync,box",☁️
Cloud Arrow Down,"storage,upload,download,save,sync",☁️
Cloud Arrow Right,"storage,upload,download,save,sync",☁️
Cloud Arrow Up,"storage,upload,download,save,sync",☁️
Cloud Beaker,"storage,upload,download,save,sync",☁️
Cloud Bidirectional,"storage,upload,download,save,sync",☁️
Cloud Checkmark,"storage,upload,download,save,sync",☁️
Cloud Cube,"storage,upload,download,save,sync",☁️
Cloud Database,"storage,upload,download,save,sync",☁️
Cloud Desktop,"storage,upload,download,save,sync",☁️
Cloud Dismiss,"storage,upload,download,save,sync",☁️
Cloud Edit,"storage,upload,download,save,sync",☁️
Cloud Error,,☁️
Cloud Flow,"storage,upload,download,save,sync",☁️
Cloud Link,"storage,upload,download,save,sync",☁️
Cloud Off,"storage,upload,download,save,sync",☁️
Cloud Swap,"storage,upload,download,save,sync",☁️
Cloud Sync,"storage,upload,download,save,sync",☁️
Cloud Words,"edit,word cloud",☁️
Clover,"shared locations,single source",☘️
Code,"bracket,slash",💻
Code Block,"bracket,slash,edit,editor",💻
Code CS,"project node,language,cs,c#,c sharp,sharp,coding",💻
Code CS Rectangle,"project node,language,cs,c#,c sharp,sharp,coding",💻
Code Circle,"bracket,slash",💻
Code FS,"project node,language,fs,f#,f sharp,sharp,coding",💻
Code FS Rectangle,"project node,language,fs,f#,f sharp,sharp,coding",💻
Code JS,"project node,language,js,javascript,script,coding",💻
Code JS Rectangle,"project node,language,js,javascript,script,coding",💻
Code PY,"project node,language,py,python,script,coding",💻
Code PY Rectangle,"project node,language,py,python,script,coding",💻
Code RB,"project node,language,ruby,coding",💻
Code RB Rectangle,"project node,language,ruby,coding",💻
Code TS,"project node,language,VB,typescript,type,script",💻
Code Text,"bracket,slash,script,text,type",💻
Code TS Rectangle,"project node,language,VB,typescript,type,script",💻
Code Text Edit,"bracket,slash,script,text,type",💻
Code Text Off,"code,disable,slash",💻
Code VB,"file node,language,vb,visual basic",💻
Code VB Rectangle,"project node,language,vb,visual basic",💻
Coin Multiple,"money,stack,credit,balance",🪙
Collections,"browser,store,selection",🗂️
Collections Add,"browser,store,selection,plus",🗂️
Color,"art,edit,paint,palette",🎨
Color Background,"color,edit,paint,palette",🎨
Color Background Accent,"color,edit,paint,palette",🎨
Color Fill,"color,edit,paint,palette",🎨
Color Fill Accent,"color,edit,paint,palette",🎨
Color Line,"color,edit,paint,palette",🎨
Color Line Accent,"color,edit,paint,palette",🎨
Column,"content,grid,alignment",📊
Column Arrow Right,"content,grid,alignment,move,edit",➡️
Column Double Compare,"diff preview,diff,compare,preview",📊
Column Edit,"content,grid,alignment,edit,pencil",✏️
Column Single,"column,layout",📊
Column Single Compare,"column,compare,code,visual difference,review",📊
Column Triple,"content,grid,alignment",📊
Column Triple Edit,"content,grid,alignment,edit,pencil",✏️
Comma,"comma,oxford",,
Comment,"chat,mention,discussion",💬
Comment Add,"chat,mention,discussion",💬
Comment Arrow Left,"chat,mention,discussion",💬
Comment Arrow Right,"chat,mention,discussion",💬
Comment Badge,"chat,mention,discussion,unread",💬
Comment Checkmark,"chat,mention,discussion",💬
Comment Dismiss,"chat,mention,discussion",💬
Comment Edit,"chat,mention,discussion",💬
Comment Error,"chat,mention,discussion",💬
Comment Lightning,"chat,mention,discussion",💬
Comment Link,"chat,mention,discussion,link,share",💬
Comment Mention,"chat,mention,discussion",💬
Comment Multiple,"chat,mention,discussion",💬
Comment Multiple Checkmark,"chat,mention,discussion",💬
Comment Multiple Link,"chat,mention,discussion",💬
Comment Note,"chat,mention,discussion",💬
Comment Multiple Mention,"chat,mention,discussion",💬
Comment Off,"chat,mention,discussion",💬
Comment Quote,"chat,mention,quote,quotation,discussion,caption,text",💬
Comment Text,"chat,mention,discussion,caption,text",💬
Communication,"cast,connect,wifi,share",📡
Communication Person,"cast,connect,wifi,share",📡
Communication Shield,"cast,connect,wifi,share",🛡️
Compass Northwest,"location,direction,camping",🧭
Compose,"create,new,pencil",✏️
Cone,"shape,cone,3d,depth",🔺
Conference Room,"door,meeting",🚪
Connected,"x,star,apps",🔗
Connector,"point,direction,horizontal,diagonal",🔗
Contact Card,"person,profile,details,organization,people card",💳
Contact Card Group,"person,profile,details,organization,people card",💳
Contact Card Link,"person,profile,details,organization,people card",💳
Contact Card Ribbon,"person,profile,details,organization,people card,certificate",💳
Content View,"window,feed",🪟
Content Settings,"window,ad",⚙️
Content View Gallery,"window,feed",🪟
Content View Gallery Lightning,"window,feed,fast quick,bolt,lightning",⚡
Contract Down Left,"window,scale,fit,snap",↙️
Contract Up Right,"window,scale,fit,snap,deploy",↗️
Control Button,"keyboard,button,hot key",🔘
Convert Range,formula.,🔄
Cookies,"browser,site,data. Used to represent website cookies. Also makes me hungry.",🍪
Copy,"share,paste,clipboard. Used for all copy + paste scenarios.",📋
Copy Add,"share,paste,clipboard. Used for all copy + paste scenarios.",📋
Copy Arrow Right,"share,paste,clipboard. Used for all copy + paste scenarios.",📋
Copy Select,"share,paste,clipboard. Used for all copy + paste scenarios.",📋
Credit Card Clock,"payment,transaction,purchase,time,clock",💳
Couch,"weekend,relax. Used to represent the weekend.",🛋️
Credit Card Toolbox,"payment,transaction,purchase. Used in scenarios involving payments.",💳
Credit Card Person,"payment,transaction,purchase. Used in scenarios involving payments.",💳
Crop,,✂️
Crop Arrow Rotate,,🔄
Crop Interim,edit.,✂️
Crop Interim Off,edit.,✂️
Crop Sparkle,"edit,canvas,ai,cut,create,save",✨
Crown,"win,king,queen,ruler,top",👑
Crown Subtract,"win,king,queen,ruler,top",👑
Cube,"3D,depth,z-axis",🧊
Cube Add,"3D,depth,z-axis",🧊
Cube Arrow Curve Down,Used in,🧊
Cube Link,"3D,depth,z-axis",🧊
Cube Multiple,"3D,depth,z-axis",🧊
Cube Quick,"3D,depth,z-axis,shipping,movement,speed,location",🧊
Cube Rotate,"3D,depth,z-axis",🧊
Cube Sync,"3D,depth,z-axis",🧊
Cube Tree,"package,shipping,cargo,production,branch",🧊
Currency Dollar Euro,"money,transaction,bank. Used to represent currency values. Contains currency variants.",💶
Currency Dollar Rupee,"money,transaction,bank. Used to represent currency values. Contains currency variants.",💵
Cursor,"arrow,interact,click. Used in user cursor scenarios.",🖱️
Cursor Click,"arrow,interact,click. Used in user cursor scenarios.",🖱️
Cursor Hover,"arrow,interact,click. Used in user cursor scenarios.",🖱️
Cursor Hover Off,"arrow,interact,click. Used in user cursor scenarios.",🖱️
Cursor Prohibited,"arrow,interact,click. Used in user cursor scenarios.",🚫
Cut,"copy,paste,share,move. Used to cut content from experience.",✂️
Dark Theme,"dark mode,light,dark,ui. Used to represent dark mode UI.",🌑
Data Area,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",📊
Data Bar Horizontal,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",📊
Data Bar Horizontal Descending,"data,bar,horizontal,descending,kpi,graph",📉
Data Bar Vertical,"data viz,visualization,chart,map,trending,graph,report. Used in data viz scenarios.",📊
Data Bar Vertical Add,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",📊
Data Bar Vertical Arrow Down,"data,bar,vertical,ascending,measure,graph,download,arrow",⬇️
Data Bar Vertical Ascending,"data,bar,vertical,ascending,measure,graph",⬆️
Data Bar Vertical Star,"data viz,visualization,chart,map,trending,graph,star,favorite",⭐
Data Funnel,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",🔻
Data Histogram,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",📊
Data Line,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",📈
Data Pie,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",🥧
Data Scatter,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",📊
Data Sunburst,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",🌞
Data Treemap,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",🗺️
Data Trending,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",📈
Data Usage,"data viz,visualization,chart,map,trending,graph. Used in data usage scenarios.",📊
Data Usage Checkmark,"data viz,visualization,chart,map,trending,graph. Used in data usage scenarios.",✅
Data Usage Edit,"data viz,visualization,chart,map,trending,graph. Used in data usage scenarios.",✏️
Data Usage Settings,,⚙️
Data Usage Toolbox,"data viz,visualization,chart,map,trending,graph. Used in data usage scenarios.",🧰
Data Waterfall,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",💧
Data Whisker,"data viz,visualization,chart,map,trending,graph. Used in data viz scenarios.",📊
Database,"data,information",🗄️
Database Arrow Down,"data,information",⬇️
Database Arrow Right,"data,information",➡️
Database Arrow Up,"data,information",⬆️
Database Lightning,"data,information",⚡
Database Link,"data,information",🔗
Database Multiple,"data,information",🗄️
Database Person,"data,information",👤
Database Plug Connected,"data,information",🔌
Database Search,"data,information",🔍
Database Stack,"datasource,database,data",🗄️
Database Switch,"consume data,arrow,consume",🔄
Database Window,"data,information",🗄️
Database Warning,"data,information",⚠️
Decimal Arrow Left,"currency,number,math. Used to change decimal placement.",⬅️
Decimal Arrow Right,"currency,number,math. Used to change decimal placement.",➡️
Delete,"trash,can,remove,edit,byee",🗑️
Delete Arrow Back,"trash,can,remove,edit,byee",🗑️
Delete Dismiss,"trash,can,remove,edit,byee",🗑️
Delete Lines,"trash,can,remove,edit,byee",🗑️
Delete Off,"trash,can,remove,edit,byee",🗑️
Dentist,"medical,tooth,mouth",🦷
Design Ideas,"ai,edit,compose",💡
Desk,"appliance,home,house,office,work,utility,physical,workspace",🪑
Desktop,"monitor,office,tower,pc,large screen",🖥️
Desktop Arrow Down,"monitor,office,tower,pc,large screen,arrow,down",⬇️
Desktop Checkmark,"monitor,office,tower,pc,large screen",✅
Desktop Arrow Right,"monitor,office,tower,pc,large screen",➡️
Desktop Cursor,"monitor,office,tower,pc,large screen,it",🖱️
Desktop Edit,"monitor,office,tower,pc,large screen",✏️
Desktop Flow,"monitor,office,tower,pc,large screen",🔄
Desktop Keyboard,"monitor,office,tower,pc,large screen",⌨️
Desktop Mac,"monitor,office,tower,pc,large screen",🖥️
Desktop Off,"monitor,office,tower,pc,large screen",🖥️
Desktop Pulse,"monitor,office,tower,pc,large screen",💓
Desktop Signal,"monitor,office,tower,pc,large screen",📶
Desktop Speaker,"monitor,office,tower,pc,large screen",🔊
Desktop Speaker Off,"monitor,office,tower,pc,large screen",🔇
Desktop Sync,"monitor,office,tower,pc,large screen",🔄
Desktop Toolbox,"monitor,office,tower,pc,large screen",🧰
Desktop Tower,"monitor,office,tower,pc,large screen",🖥️
Developer Board,"circuit,chip,device,memory,process,power,cpu",💻
Developer Board Lightning,"circuit,chip,device,memory,process,power,cpu",⚡
Developer Board Lightning Toolbox,"circuit,chip,device,memory,process,power,cpu",🧰
Developer Board Search,"circuit,chip,device,memory,process,power,cpu",🔍
Device EQ,"sound wave,audio,device",🔊
Device Meeting Room,"office,remote,touch screen,conference room",🏢
Device Meeting Room Remote,"office,remote,touch screen,conference room",🏢
Diagram,"data,chart,edit",📈
Dialpad,"call,dial,number",📞
Dialpad Off,"call,dial,number",📞
Dialpad Question Mark,"call,dial,number",❓
Diamond,"edit,shape,create",💎
Directions,"drive,vehicle,travel",🧭
Dishwasher,"appliance,home,house,utility,dishwasher,dishes,utensils,clean,sanitize,water",🍽️
Dismiss,"x,close,cancel,remove",❌
Dismiss Circle,"x,close,cancel,remove",⭕
Dismiss Square,"x,close,cancel,remove",❌
Dismiss Square Multiple,"x,close,cancel,remove",❌
Diversity,"different,unique,special",🌈
Divider Short,"spacer,line,text",➖
Divider Tall,"spacer,line,text",➖
Dock,"arrow,device,analog",⚓
Dock Row,"grid,analog,note",🗂️
Doctor,"medical,medicine,hospital",🩺
Document,"paper,work,file,analog,vertical",📄
Document 100,"paper,work,file,analog,vertical,no scaling,100%,type,numbers",📄
Document Add,"paper,work,file,analog,new,plus,create,vertical",📄
Document Arrow Down,"paper,work,file,analog,download,vertical",⬇️
Document Arrow Left,"paper,work,file,analog,back,vertical",⬅️
Document Arrow Right,"paper,work,file,analog,share,forward,vertical",➡️
Document Arrow Up,"paper,work,file,analog,upload,vertical",⬆️
Document Border,"document,border,outline,decoration,details",📄
Document Border Print,"paper,work,file,analog,horizontal,print,printer,decoration",🖨️
Document Briefcase,"paper,work,file,analog,organization,business,vertical,information barriers",💼
Document Bullet List,"paper,work,file,analog,task,checklist,vertical",📝
Document Bullet List Arrow Left,"paper,work,file,analog,task,checklist,vertical,back",⬅️
Document Bullet List Clock,"paper,work,file,analog,task,checklist,vertical",⏰
Document Bullet List Cube,"paper,work,file,analog,task,checklist,vertical,shipping,cargo,crate,box",📦
Document Bullet List Multiple,"paper,work,file,analog,task,checklist,vertical",📝
Document Bullet List Off,"paper,work,file,analog,task,checklist,vertical",📝
Document CS,"project node,language,cs,c#,c sharp,sharp,coding,paper",📄
Document CSS,"paper,work,file,analog,cascading style sheets,code,vertical",📄
Document Catch Up,"paper,work,file,analog,vertical,activity",📈
Document Checkmark,"paper,work,file,analog,vertical",✅
Document Chevron Double,"paper,work,file,analog,vertical",⏩
Document Contract,"document,file,sign,signature,contract,x",📝
Document Copy,"paper,work,file,analog,share,paste,forward,vertical",📋
Document Cube,"paper,work,file,analog,vertical",🧊
Document Data,"paper,work,file,analog,vertical,data viz",📊
Document Data Link,"paper,work,file,analog,vertical,chart,bar graph,link",🔗
Document Data Lock,"paper,work,file,analog,vertical,records management",🔒
Document Database,"paper,work,file,analog,vertical",🗄️
Document Dismiss,"paper,work,file,analog,vertical",❌
Document Edit,"paper,work,file,analog,vertical",✏️
Document Endnote,"paper,work,file,analog,vertical",📝
Document Error,"paper,work,file,analog,exclamation,vertical",⚠️
Document FS,"project node,language,fs,f#,sharp,f sharp,coding",📄
Document Fit,"point,direction,horizontal,scale,fit,document",⤢
Document Flowchart,"paper,work,file,analog,vertical",📈
Document Folder,"folder,collection,files,file",📁
Document Footer,"paper,work,file,analog,edit,image,content,vertical",📄
Document Footer Dismiss,"paper,work,file,analog,edit,image,content,x,close,remove,vertical",❌
Document Header,"paper,work,file,analog,edit,image,content,vertical",📄
Document Globe,"paper,work,file,analog,vertical,global,world",🌍
Document Header Arrow Down,"paper,work,file,analog,edit,image,content,download,vertical",⬇️
Document Header Dismiss,"paper,work,file,analog,edit,image,content,x,close,remove,vertical",❌
Document Header Footer,"paper,work,file,analog,edit,image,content,vertical",📄
Document Heart,"paper,work,file,analog,love,favorite,vertical",❤️
Document Heart Pulse,"paper,work,file,analog,medical,favorite,love,medical,hospital,vertical",💓
Document Image,"paper,work,file,analog,horizontal",🖼️
Document JAVA,"paper,work,file,analog,horizontal",📄
Document Javascript,"paper,work,file,analog,vertical",📄
Document Key,"paper,work,file,analog,vertical",🔑
Document Landscape,"paper,work,file,analog,horizontal",📄
Document Landscape Data,"paper,work,file,analog,horizontal",📊
Document Landscape Split,"paper,work,file,analog,horizontal",📄
Document Landscape Split Hint,"paper,work,file,analog,horizontal",📄
Document Lightning,"template,paper,bolt,file",⚡
Document Link,"paper,work,file,analog,horizontal",🔗
Document Lock,"paper,work,file,analog,horizontal",🔒
Document Margins,"paper,work,file,analog,vertical",📄
Document Mention,"paper,work,file,analog,vertical,portrait,mention",💬
Document Multiple,"paper,work,file,analog,vertical,library,stack",📚
Document Multiple Percent,"paper,work,file,analog,horizontal",📄
Document Multiple Prohibited,"paper,work,file,analog,horizontal",🚫
Document Multiple Sync,"paper,work,file,analog,vertical,library,stack",🔄
Document Number 1,"number,binary,file,document,01,1,one",1️⃣
Document One Page,"paper,work,file,analog,horizontal",📄
Document One Page Add,"paper,work,file,analog,horizontal",📄
Document One Page Beaker,"paper,work,file,analog,horizontal",⚗️
Document One Page Columns,"paper,work,file,analog,horizontal",📄
Document One Page Link,"paper,work,file,analog,horizontal",🔗
Document One Page Multiple,"paper,work,file,analog,horizontal,stack",📄
Document One Page Multiple Sparkle,"paper,work,file,analog,horizontal,stack,notes,copilot",✨
Document One Page Sparkle,"paper,work,file,analog,horizontal,AI,summary",✨
Document PDF,"paper,work,file,analog,horizontal,portable document format",📄
Document PY,"project node,language,py,python,coding",📄
Document Page Bottom Center,"paper,work,file,analog,horizontal",📄
Document Page Bottom Left,"paper,work,file,analog,horizontal",📄
Document Page Bottom Right,"paper,work,file,analog,horizontal",📄
Document Page Break,"paper,work,file,analog,horizontal",📄
Document Page Number,"paper,work,file,analog,horizontal",🔢
Document Page Top Center,"paper,work,file,analog,horizontal",📄
Document Page Top Left,"paper,work,file,analog,horizontal",📄
Document Page Top Right,"paper,work,file,analog,horizontal",📄
Document Percent,"paper,work,file,analog,horizontal",📄
Document Person,"paper,work,file,analog,horizontal",👤
Document Pill,"paper,work,file,analog,horizontal,medical,hospital",💊
Document Print,"paper,work,file,analog,horizontal,print,printer,decoration",🖨️
Document Question Mark,"paper,work,file,analog,horizontal",❓
Document Prohibited,"paper,work,file,analog,horizontal",🚫
Document Queue,"paper,work,file,analog,horizontal,collection,stack,backlog",📄
Document Queue Add,"paper,work,file,analog,horizontal,collection,stack,backlog",📄
Document Queue Multiple,"paper,work,file,analog,horizontal,collection,stack,backlog",📄
Document RB,"project node,language,rb,ruby,coding",📄
Document SASS,"paper,work,file,analog,horizontal",📄
Document Ribbon,"paper,work,file,analog,horizontal",🎗️
Document Save,"paper,work,file,analog,horizontal",💾
Document Search,"paper,work,file,analog,horizontal,audit",🔍
Document Settings,"paper,work,file,analog,horizontal",⚙️
Document Signature,,✍️
Document Split Hint,"paper,work,file,analog,horizontal",📄
Document Split Hint Off,"paper,work,file,analog,horizontal",📄
Document Sync,"paper,work,file,analog,horizontal",🔄
Document TS,"project node,language,ts,typescript,type,script,coding",📄
Document Table,"paper,work,file,analog,horizontal,data,spreadsheet",📊
Document Table Arrow Right,"paper,work,file,analog,horizontal,data,spreadsheet",➡️
Document Table Checkmark,"paper,work,file,analog,horizontal,data,spreadsheet",✅
Document Table Cube,"paper,work,file,analog,horizontal,data,spreadsheet",🧊
Document Table Search,"paper,work,file,analog,horizontal,data,spreadsheet",🔍
Document Target,"document,file,target,live,location",🎯
Document Text,"paper,work,file,analog,horizontal",📝
Document Text Clock,"paper,work,file,analog,horizontal",⏰
Document Text Extract,"paper,work,file,analog,horizontal,extraction",📝
Document Table Truck,"paper,work,file,analog,horizontal,data,spreadsheet",🚚
Document Text Link,"paper,work,file,analog,horizontal",🔗
Document Text Toolbox,"paper,work,file,analog,horizontal",🧰
Document Toolbox,"paper,work,file,analog,horizontal",🧰
Document VB,"project node,language,vb,visual basic,coding",📄
Document Width,"paper,work,file,analog,horizontal,edit,scale,fit",📏
Document YML,"paper,work,file,analog,horizontal",📄
Door,"meeting,conference room,leave,enter,join,analog",🚪
Door Arrow Left,"meeting,conference room,leave,analog",⬅️
Door Arrow Right,"meeting,conference room,join,enter,analog",➡️
Door Tag,"hotel,travel,do not disturb",🏷️
Double Swipe Up,"action,tap,touch screen,gesture",⬆️
Double Swipe Down,"action,tap,touch screen,gesture",⬇️
Double Tap Swipe Down,"action,tap,touch screen,gesture",⬇️
Double Tap Swipe Up,"action,tap,touch screen,gesture",⬆️
Drafts,"edit,description,text",📝
Drag,"point,direction,position",↔️
Draw Image,"edit,create,translate,pencil",✏️
Draw Shape,"edit,create,translate,pencil",✏️
Draw Text,"edit,create,translate,pencil",✏️
Drawer,"money,collection,analog,container",🗄️
Drawer Add,"collection,analog",🗄️
Drawer Arrow Download,"collection,analog",⬇️
Drawer Dismiss,"collection,analog",❌
Drawer Play,"collection,analog",▶️
Drawer Subtract,"collection,analog",➖
Drink Beer,"relax,meal,coffee",🍺
Drink Bottle,"plastic,recycle,drink,liquid,cheers",🍾
Drink Coffee,"relax,meal,coffee",☕
Drink Margarita,"relax,meal,coffee",🍹
Drink Bottle Off,"plastic,recycle,drink,liquid,sustainable,sustainability,environment",🍾
Drink To Go,"relax,meal,coffee",🥤
Drink Wine,"relax,meal,coffee",🍷
Drive Train,"vehicle,wheel",🚗
Drop,"water,liquid,blood",💧
Dual Screen,"duo,open,double screen,foldable",📱
Dual Screen Add,"duo,open,double screen,foldable",📱
Dual Screen Arrow Right,"duo,open,double screen,foldable",➡️
Dual Screen Clock,"duo,open,double screen,foldable",⏰
Dual Screen Arrow Up,"duo,open,double screen,foldable",⬆️
Dual Screen Closed Alert,"duo,open,double screen,foldable",⚠️
Dual Screen Desktop,"duo,open,double screen,foldable",🖥️
Dual Screen Dismiss,"duo,open,double screen,foldable",❌
Dual Screen Group,"duo,open,double screen,foldable",👥
Dual Screen Header,"duo,open,double screen,foldable",📱
Dual Screen Lock,"duo,open,double screen,foldable",🔒
Dual Screen Mirror,"duo,open,double screen,foldable",🔁
Dual Screen Pagination,"duo,open,double screen,foldable",📱
Dual Screen Settings,"duo,open,double screen,foldable",⚙️
Dual Screen Span,"duo,open,double screen,foldable",📱
Dual Screen Speaker,"duo,open,double screen,foldable",🔊
Dual Screen Status Bar,"duo,open,double screen,foldable",📱
Dual Screen Tablet,"duo,open,double screen,foldable",📱
Dual Screen Update,"duo,open,double screen,foldable",🔄
Dual Screen Vertical Scroll,"duo,open,double screen,foldable",⬇️
Dual Screen Vibrate,"duo,open,double screen,foldable",📳
Dumbbell,"exercise,health,weight,lift",🏋️
Dust,"allergies,allergens,dust,dander",💨
Earth,"planet,globe",🌍
Earth Leaf,"earth,globe,sustainable,sustainability,environment",🌱
Edit,"pencil,update,create,draw",✏️
Edit Arrow Back,"pencil,update,create,draw,undo",↩️
Edit Line Horizontal 3,"pencil,update,create,write,text,lines,compose,edit",✏️
Edit Lock,"pencil,update,view-only",🔒
Edit Off,"pencil,update,create,draw,slash",✏️
Edit Person,"pencil,update,create,draw,person,personal",✏️
Edit Prohibited,"pencil,update,create,draw",🚫
Edit Settings,"pencil,update,create,draw,gear",⚙️
Elevator,"appliance,home,house,apartment,floor,going up,up,down,arrow",🛗
Emoji,"face,emote,feeling",😀
Emoji Add,"face,emote,feeling,plus",😀
Emoji Angry,"face,emote,feeling,plus",😠
Emoji Edit,"face,emote,feeling,plus",😀
Emoji Hand,"face,emote,feeling,plus",🖐️
Emoji Hint,"face,emote,feeling",😀
Emoji Laugh,"face,emote,feeling,plus",😆
Emoji Meh,"face,emote,feeling,plus",😐
Emoji Multiple,"face,emote,feeling,plus",😀
Emoji Sad,"face,emote,feeling,plus",😢
Emoji Meme,"face,emote,feeling,glasses,funny,humor",🕶️
Emoji Sad Slight,"face,emote,feeling,plus",😔
Emoji Smile Slight,"face,emote,feeling,plus",🙂
Emoji Sparkle,"face,emote,feeling,plus",✨
Emoji Surprise,"face,emote,feeling,plus",😲
Engine,"vehicle,block,gas",🚗
Equal Circle,"math,formula,export",⚖️
Equal Off,"math,formula,export",⚖️
Eraser,"undo,remove,delete",🧽
Eraser Medium,"undo,remove,delete",🧽
Eraser Segment,"undo,remove,delete",🧽
Eraser Small,"undo,remove,delete",🧽
Eraser Tool,,🧽
Error Circle,"exclamation,alert",⚠️
Expand Up Left,,↖️
Error Circle Settings,"exclamation,alert",⚠️
Expand Up Right,,↗️
Extended Dock,,⚓
Eye,"blink,pupil,show,hide",👁️
Eye Lines,"visual deficiency,impairment,low vision,accessibility,high contrast",👁️
Eye Off,"blink,pupil,show,hide",🙈
Eye Tracking,"blink,pupil,show,hide",👁️
Eye Tracking Off,"blink,pupil,show,hide",🙈
Eyedropper,"drop,selection,color",🖌️
Eyedropper Off,"drop,selection,color",🖌️
F Stop,"camera,lens,light",📷
FPS 120,"camera,frames per second",🎥
FPS 240,"camera,frames per second",🎥
FPS 30,"camera,frames per second",🎥
FPS 60,"camera,frames per second",🎥
FPS 960,"camera,frames per second",🎥
Fast Acceleration,"drive,quick,wheel",🏎️
Fast Forward,"video,speed,arrow",⏩
Fax,"1980s,phone,call",📠
Feed,"paper,events,news,track",📰
Filmstrip,"movie,video,play,clip,edit",🎞️
Filmstrip Image,"media,movie,content,assets,video,image,picture",🎞️
Filmstrip Off,"movie,video,play,clip,edit",🎞️
Filmstrip Play,"movie,video,play,clip,edit",▶️
Filmstrip Split,"movie,video,play,clip,edit,trim,cut",✂️
Filter,"dropdown,sort,line,3 lines",🔽
Filter Add,"dropdown,sort,line,3 lines",➕
Filter Dismiss,"dropdown,sort,line,3 lines",❌
Filter Sync,"dropdown,sort,line,3 lines",🔄
Fingerprint,"scan,security,hand",🔑
Fire,"flame,calories,heat,hot,burn",🔥
Fireplace,"fire,home,house,heat,warmth",🔥
Fixed Width,"size,horizontal,scale,fit",↔️
Flag,"urgent,important,look",🚩
Flag Checkered,"car,racing,game,speed,finish line,final",🏁
Flag Clock,"urgent,important,look,time,schedule,clock",⏰
Flag Off,"urgent,important,look",🚩
Flag Pride Intersex Inclusive Progress,"lgbtqia+,important,diversity,pride,inclusive",🏳️‍🌈
Flag Pride Progress,"lgbtqia+,important,diversity,pride,inclusive",🏳️‍🌈
Flag Pride Philadelphia,"lgbtqia+,important,diversity,pride,inclusive",🏳️‍🌈
Flash,"lightning,flash,bolt,power,ai,thunder",⚡
Flag Pride,"lgbtq+,lgbtqia+,important,diversity,pride,inclusive",🏳️‍🌈
Flash Add,"lightning,flash,bolt,power,ai,new,plus,thunder",⚡
Flash Auto,"lightning,flash,bolt,power,ai,thunder",⚡
Flash Checkmark,"lightning,flash,bolt,power,ai,thunder",⚡
Flash Flow,"lightning,flash,bolt,power,ai,thunder",⚡
Flash Off,"lightning,flash,bolt,power,ai,thunder",⚡
Flash Settings,"lightning,flash,bolt,power,ai,thunder",⚡
Flash Play,"lightning,flash,bolt,power,ai,run,thunder",⚡
Flash Sparkle,"lightning,flash,bolt,power,ai,thunder",✨
Flashlight,"light,shine,bright,focus,analog",🔦
Flashlight Off,"light,shine,bright,focus,analog",🔦
Flip Horizontal,"edit,create,mirror",🔄
Flip Vertical,"edit,create,mirror",🔄
Flow,"process,automation",🔄
Flowchart,"diagram,chart,flow,process",📈
Flowchart Circle,"diagram,chart,flow,process",📈
Fluent,"f,open source,design system",🅵
Fluid,"adaptive,cross channel",💧
Folder,"analog,collection",📁
Folder Add,"analog,collection,plus,new",📁
Folder Arrow Left,"analog,collection,back,history,undo",⬅️
Folder Arrow Right,"analog,collection,move",➡️
Folder Arrow Up,"analog,collection",⬆️
Folder Briefcase,"analog,collection,organization,work",💼
Folder Document,"analog,collection",📁
Folder Globe,"analog,collection,earth,planet,web",🌍
Folder Lightning,"analog,collection,smart folder,automate,auto sort",⚡
Folder Link,"analog,collection",🔗
Folder List,"analog,collection,list",📋
Folder Mail,"analog,collection",✉️
Folder Multiple,"folder,multiple,folders",📁
Folder Open,"analog,collection",📂
Folder Open Vertical,"analog,collection",📂
Folder People,"analog,collection,people,file,storage",👥
Folder Person,"analog,collection,subject rights requests",👤
Folder Prohibited,"analog,collection",🚫
Folder Search,"analog,collection",🔍
Folder Swap,"analog,collection",🔄
Folder Sync,"analog,collection",🔄
Folder Zip,"analog,collection,organization,work",🗜️
Font Decrease,"type,text,typography,edit,create",🔡
Font Increase,"type,text,typography,edit,create",🔠
Font Space Tracking In,"type,text,typography,edit,create",🔡
